danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,artist,popularity,year,explicit,genres,outcome
0.828,0.8009999999999999,1,-5.907,0,0.0924,0.28600000000000003,9.67e-06,0.36200000000000004,0.778,127.971,audio_features,49qQQcd8wONsOy3PwnZKHB,spotify:track:49qQQcd8wONsOy3PwnZKHB,https://api.spotify.com/v1/tracks/49qQQcd8wONsOy3PwnZKHB,https://api.spotify.com/v1/audio-analysis/49qQQcd8wONsOy3PwnZKHB,233853,4,Ma jolie,Jul,59,2017,True,francoton,0
0.8109999999999999,0.797,5,-5.428,1,0.165,0.0617,0.0,0.11199999999999999,0.541,97.988,audio_features,7sKDftgGirHWTVFMtJoDoh,spotify:track:7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/tracks/7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/audio-analysis/7sKDftgGirHWTVFMtJoDoh,171133,4,Djadja,Aya Nakamura,75,2018,False,basshall,0
0.6409999999999999,0.6829999999999999,7,-5.5489999999999995,0,0.043,0.409,1.71e-06,0.203,0.303,90.039,audio_features,4aie3id34NbdlJEaWNlKyZ,spotify:track:4aie3id34NbdlJEaWNlKyZ,https://api.spotify.com/v1/tracks/4aie3id34NbdlJEaWNlKyZ,https://api.spotify.com/v1/audio-analysis/4aie3id34NbdlJEaWNlKyZ,238893,4,Roule,Soprano,58,2016,False,francoton,0
0.909,0.797,5,-4.827,0,0.20800000000000002,0.155,0.0,0.166,0.8340000000000001,128.064,audio_features,1RighqmKZNqLP9rklJ4HCz,spotify:track:1RighqmKZNqLP9rklJ4HCz,https://api.spotify.com/v1/tracks/1RighqmKZNqLP9rklJ4HCz,https://api.spotify.com/v1/audio-analysis/1RighqmKZNqLP9rklJ4HCz,200187,4,Le coach (feat. Vincenzo),Soprano,62,2018,False,francoton,0
0.728,0.7020000000000001,0,-7.347,0,0.11,0.613,0.0,0.20199999999999999,0.561,116.103,audio_features,6UgWZGcZSXxPIITNylsDBY,spotify:track:6UgWZGcZSXxPIITNylsDBY,https://api.spotify.com/v1/tracks/6UgWZGcZSXxPIITNylsDBY,https://api.spotify.com/v1/audio-analysis/6UgWZGcZSXxPIITNylsDBY,203680,4,Maman j’ai mal,MHD,46,2016,False,francoton,0
0.767,0.639,6,-6.632999999999999,0,0.125,0.42200000000000004,0.0,0.124,0.653,102.045,audio_features,0O4XHiuVt3dBaOzSI49BtF,spotify:track:0O4XHiuVt3dBaOzSI49BtF,https://api.spotify.com/v1/tracks/0O4XHiuVt3dBaOzSI49BtF,https://api.spotify.com/v1/audio-analysis/0O4XHiuVt3dBaOzSI49BtF,183745,4,Bella,MHD,58,2018,False,francoton,0
0.461,0.43,0,-8.689,0,0.0453,0.741,0.0,0.109,0.738,101.152,audio_features,4J1Xsr38zb9BjM6QraKLqK,spotify:track:4J1Xsr38zb9BjM6QraKLqK,https://api.spotify.com/v1/tracks/4J1Xsr38zb9BjM6QraKLqK,https://api.spotify.com/v1/audio-analysis/4J1Xsr38zb9BjM6QraKLqK,201656,4,Tchop,KeBlack,57,2019,False,francoton,0
0.81,0.677,0,-5.771,0,0.0672,0.139,0.000889,0.11699999999999999,0.731,107.01899999999999,audio_features,4bZOVCf1wiNELuCH34rFDl,spotify:track:4bZOVCf1wiNELuCH34rFDl,https://api.spotify.com/v1/tracks/4bZOVCf1wiNELuCH34rFDl,https://api.spotify.com/v1/audio-analysis/4bZOVCf1wiNELuCH34rFDl,185613,4,Complètement sonné,KeBlack,55,2018,False,francoton,0
0.638,0.696,6,-5.94,1,0.0442,0.579,0.0,0.11,0.557,101.97,audio_features,15Ld4e3qg8Ax5twKY45GXs,spotify:track:15Ld4e3qg8Ax5twKY45GXs,https://api.spotify.com/v1/tracks/15Ld4e3qg8Ax5twKY45GXs,https://api.spotify.com/v1/audio-analysis/15Ld4e3qg8Ax5twKY45GXs,203007,4,Pour nous,Vegedream,65,2020,False,francoton,0
0.787,0.741,4,-5.484,0,0.0592,0.32899999999999996,1.88e-05,0.341,0.466,105.0,audio_features,7j56bK7gq6iV7zsD6lbP4J,spotify:track:7j56bK7gq6iV7zsD6lbP4J,https://api.spotify.com/v1/tracks/7j56bK7gq6iV7zsD6lbP4J,https://api.spotify.com/v1/audio-analysis/7j56bK7gq6iV7zsD6lbP4J,196880,4,Elle est bonne sa mère,Vegedream,62,2019,True,francoton,0
0.792,0.816,10,-6.207000000000001,0,0.065,0.396,0.0,0.0937,0.855,105.00200000000001,audio_features,19IXPRtUuKFwIqJSFPY8zz,spotify:track:19IXPRtUuKFwIqJSFPY8zz,https://api.spotify.com/v1/tracks/19IXPRtUuKFwIqJSFPY8zz,https://api.spotify.com/v1/audio-analysis/19IXPRtUuKFwIqJSFPY8zz,219629,4,La fuite - Vegedream X Dj Leska / Edit MIx,Vegedream,57,2018,True,francoton,0
0.7440000000000001,0.441,3,-7.015,1,0.0672,0.855,5.14e-06,0.11,0.341,80.024,audio_features,1DpXS9b1F41FQD3j0us3P5,spotify:track:1DpXS9b1F41FQD3j0us3P5,https://api.spotify.com/v1/tracks/1DpXS9b1F41FQD3j0us3P5,https://api.spotify.com/v1/audio-analysis/1DpXS9b1F41FQD3j0us3P5,352973,4,Tu m'as menti,Vegedream,52,2019,True,francoton,0
0.605,0.419,1,-9.032,1,0.0342,0.373,0.0,0.128,0.29100000000000004,152.161,audio_features,7iZVBT6LV32t4l00p73VAw,spotify:track:7iZVBT6LV32t4l00p73VAw,https://api.spotify.com/v1/tracks/7iZVBT6LV32t4l00p73VAw,https://api.spotify.com/v1/audio-analysis/7iZVBT6LV32t4l00p73VAw,175257,4,Plus Jamais (feat. Stormzy),Aya Nakamura,77,2020,False,basshall,0
0.813,0.64,2,-5.9079999999999995,1,0.272,0.26899999999999996,0.0,0.131,0.488,92.98899999999999,audio_features,65RWVU6N81CeH65nu52K1U,spotify:track:65RWVU6N81CeH65nu52K1U,https://api.spotify.com/v1/tracks/65RWVU6N81CeH65nu52K1U,https://api.spotify.com/v1/audio-analysis/65RWVU6N81CeH65nu52K1U,147076,4,Jolie nana,Aya Nakamura,75,2020,False,basshall,0
0.773,0.609,4,-5.855,0,0.244,0.136,0.0,0.0729,0.6970000000000001,98.071,audio_features,3V6NCwBywAwpAlAyGL7h0p,spotify:track:3V6NCwBywAwpAlAyGL7h0p,https://api.spotify.com/v1/tracks/3V6NCwBywAwpAlAyGL7h0p,https://api.spotify.com/v1/audio-analysis/3V6NCwBywAwpAlAyGL7h0p,168719,4,Doudou,Aya Nakamura,72,2020,False,basshall,0
0.43200000000000005,0.7809999999999999,4,-4.038,0,0.0567,0.040999999999999995,4.21e-06,0.0789,0.19699999999999998,139.43200000000002,audio_features,66hayvUbTotekKU3H4ta1f,spotify:track:66hayvUbTotekKU3H4ta1f,https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f,https://api.spotify.com/v1/audio-analysis/66hayvUbTotekKU3H4ta1f,250286,4,Where Are Ü Now (with Justin Bieber),Jack Ü,75,2015,False,edm,0
0.9009999999999999,0.934,11,-2.345,1,0.273,0.007940000000000001,7.68e-05,0.19399999999999998,0.868,150.037,audio_features,65ES1qwOB577ZnTkizMXJJ,spotify:track:65ES1qwOB577ZnTkizMXJJ,https://api.spotify.com/v1/tracks/65ES1qwOB577ZnTkizMXJJ,https://api.spotify.com/v1/audio-analysis/65ES1qwOB577ZnTkizMXJJ,156800,4,HUMBLE. - SKRILLEX REMIX,Skrillex,72,2017,True,brostep,0
0.6890000000000001,0.623,1,-7.206,0,0.129,0.586,0.0,0.10300000000000001,0.26,154.95,audio_features,1J4oMIhWDUd9cI1urhEyjl,spotify:track:1J4oMIhWDUd9cI1urhEyjl,https://api.spotify.com/v1/tracks/1J4oMIhWDUd9cI1urhEyjl,https://api.spotify.com/v1/audio-analysis/1J4oMIhWDUd9cI1urhEyjl,178333,4,Joli bébé,Naza,68,2020,True,francoton,0
0.9179999999999999,0.602,4,-3.986,0,0.115,0.401,7.28e-06,0.0805,0.158,96.51799999999999,audio_features,42FWqCxAw5aG1FvjyVjIlH,spotify:track:42FWqCxAw5aG1FvjyVjIlH,https://api.spotify.com/v1/tracks/42FWqCxAw5aG1FvjyVjIlH,https://api.spotify.com/v1/audio-analysis/42FWqCxAw5aG1FvjyVjIlH,275693,4,Te Boté,Darell,65,2018,False,latin,0
0.39899999999999997,0.395,2,-10.782,1,0.0593,0.76,0.0,0.0815,0.7040000000000001,98.17399999999999,audio_features,1bxP4M9ICllcg7mel8kH89,spotify:track:1bxP4M9ICllcg7mel8kH89,https://api.spotify.com/v1/tracks/1bxP4M9ICllcg7mel8kH89,https://api.spotify.com/v1/audio-analysis/1bxP4M9ICllcg7mel8kH89,199267,4,Reine,Dadju,65,2017,False,francoton,0
0.6940000000000001,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.09099999999998,audio_features,6osaMSJh9NguagEDQcZaKx,spotify:track:6osaMSJh9NguagEDQcZaKx,https://api.spotify.com/v1/tracks/6osaMSJh9NguagEDQcZaKx,https://api.spotify.com/v1/audio-analysis/6osaMSJh9NguagEDQcZaKx,185195,4,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,79,2019,False,dance pop,0
0.8440000000000001,0.785,11,-5.405,0,0.0833,0.34299999999999997,0.00011,0.505,0.45399999999999996,99.992,audio_features,58X7U6eD6RCNLIAnxJqBHl,spotify:track:58X7U6eD6RCNLIAnxJqBHl,https://api.spotify.com/v1/tracks/58X7U6eD6RCNLIAnxJqBHl,https://api.spotify.com/v1/audio-analysis/58X7U6eD6RCNLIAnxJqBHl,171211,4,Poquito,T Garcia,55,2020,False,,0
0.789,0.711,2,-4.248,1,0.040999999999999995,0.0332,0.0,0.0876,0.753,112.985,audio_features,59qrUpoplZxbIZxk6X0Bm3,spotify:track:59qrUpoplZxbIZxk6X0Bm3,https://api.spotify.com/v1/tracks/59qrUpoplZxbIZxk6X0Bm3,https://api.spotify.com/v1/audio-analysis/59qrUpoplZxbIZxk6X0Bm3,190306,4,Take You Dancing,Jason Derulo,91,2020,False,dance pop,0
0.586,0.594,1,-5.472,0,0.217,0.327,0.0,0.34299999999999997,0.9209999999999999,65.809,audio_features,0KmJlpwFryVrik3YN3PkPz,spotify:track:0KmJlpwFryVrik3YN3PkPz,https://api.spotify.com/v1/tracks/0KmJlpwFryVrik3YN3PkPz,https://api.spotify.com/v1/audio-analysis/0KmJlpwFryVrik3YN3PkPz,167997,5,Coco,Wejdene,63,2020,False,francoton,0
0.6,0.628,9,-6.273,1,0.392,0.555,0.0,0.193,0.875,118.512,audio_features,2nOZaGwMYt07nXtIeYbEiu,spotify:track:2nOZaGwMYt07nXtIeYbEiu,https://api.spotify.com/v1/tracks/2nOZaGwMYt07nXtIeYbEiu,https://api.spotify.com/v1/audio-analysis/2nOZaGwMYt07nXtIeYbEiu,172000,4,Comportement,Aya Nakamura,52,2017,False,basshall,0
0.932,0.778,10,-3.384,0,0.0638,0.212,0.0,0.168,0.9329999999999999,124.99600000000001,audio_features,4TnFANpjVwVKWzkxNzIyFH,spotify:track:4TnFANpjVwVKWzkxNzIyFH,https://api.spotify.com/v1/tracks/4TnFANpjVwVKWzkxNzIyFH,https://api.spotify.com/v1/audio-analysis/4TnFANpjVwVKWzkxNzIyFH,188613,4,Ne reviens pas,Gradur,67,2019,True,francoton,0
0.718,0.41600000000000004,5,-8.758,1,0.0675,0.7959999999999999,1.85e-06,0.0992,0.642,132.07399999999998,audio_features,70APCdHsWV5BEsacwjzXmd,spotify:track:70APCdHsWV5BEsacwjzXmd,https://api.spotify.com/v1/tracks/70APCdHsWV5BEsacwjzXmd,https://api.spotify.com/v1/audio-analysis/70APCdHsWV5BEsacwjzXmd,218481,4,Amour toxic,Dadju,72,2020,False,francoton,0
0.731,0.523,8,-7.183,0,0.0611,0.39799999999999996,0.0,0.215,0.83,133.961,audio_features,1HDqaIxeJ70BTHgZWEuaeT,spotify:track:1HDqaIxeJ70BTHgZWEuaeT,https://api.spotify.com/v1/tracks/1HDqaIxeJ70BTHgZWEuaeT,https://api.spotify.com/v1/audio-analysis/1HDqaIxeJ70BTHgZWEuaeT,211649,4,Dieu merci,Dadju,67,2020,False,francoton,0
0.701,0.787,8,-3.9410000000000003,0,0.0855,0.27,0.0,0.105,0.904,180.02700000000002,audio_features,1Bhm5HNO1cq8olDbBmokyL,spotify:track:1Bhm5HNO1cq8olDbBmokyL,https://api.spotify.com/v1/tracks/1Bhm5HNO1cq8olDbBmokyL,https://api.spotify.com/v1/audio-analysis/1Bhm5HNO1cq8olDbBmokyL,171720,4,Copines,Aya Nakamura,63,2018,False,basshall,0
0.297,0.948,1,-5.325,1,0.107,0.00047000000000000004,0.0026,0.142,0.363,145.414,audio_features,15uss75SOwMaCQyBma5UlD,spotify:track:15uss75SOwMaCQyBma5UlD,https://api.spotify.com/v1/tracks/15uss75SOwMaCQyBma5UlD,https://api.spotify.com/v1/audio-analysis/15uss75SOwMaCQyBma5UlD,173560,4,Iron Fist,Motörhead,45,1982,False,album rock,0
0.32899999999999996,0.9740000000000001,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.23399999999999999,140.862,audio_features,6EPRKhUOdiFSQwGBRBbvsZ,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/tracks/6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/audio-analysis/6EPRKhUOdiFSQwGBRBbvsZ,166920,4,Ace of Spades,Motörhead,74,1980,False,album rock,0
0.319,0.789,4,-12.73,1,0.0467,0.0029,0.7859999999999999,0.32799999999999996,0.5920000000000001,146.752,audio_features,1ocKVM8apJb2y0zBZHgXU4,spotify:track:1ocKVM8apJb2y0zBZHgXU4,https://api.spotify.com/v1/tracks/1ocKVM8apJb2y0zBZHgXU4,https://api.spotify.com/v1/audio-analysis/1ocKVM8apJb2y0zBZHgXU4,290693,4,Abigail,King Diamond,48,1987,False,album rock,0
0.935,0.45399999999999996,1,-7.5089999999999995,1,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4,WAP (feat. Megan Thee Stallion),Cardi B,95,2020,True,dance pop,0
